Content,Sentiment_category_human_labeled,Key-phrase_human_labeled,Summary_human_labeled
"It was the safest shop I entered or at least where I felt the most safe.There was a very friendly member of staff at the door making sure there wasn't too many people inside the shop in order to observe social distancing. Then would offer hand sanitiser before we went in.The staff in store were so polite and friendly making sure social distancing is observed and that includes how certain items in the shop can or not be touched.And to finalise, Mark, excellent customer service. Polite and interested in what I had to say. Making sure my 3 year old could leave the store happy with the collectable miniature lego figure that comes in a package, as a surprise, so one never knows what you'll be getting. My son wanted the green one and he went in the back of store and after a while came back and it was the green lego figure, to my sons delight, he found it!Taking the extra for an excellent customer service, where customer feels welcomed, even when one knows nothing about Lego (nMe!), there was a friendly smile even behind masks.We will certainly be back!",Positive,"Taking the extra for an excellent customer service, where customer feels welcomed, even when one knows nothing about Lego.","During Covid, the customer felt safe in the store due to the social distancing measures and was also satisfied with the customer service, as the staff were very welcoming and helpful."
"Today was the worst day for me and the kids, I love coming to the Lego store. We also like buying legos in Stratford as most of the staff here are very friendly, but on 13th April there was a female staff who was very unfriendly. When I checked out, I saw a Lego card on the counter and asked the female clerk to ask for one for my child. Because that card was beautiful and my other kid wanted it too, so I asked the clerk to give me another one. But the female clerk immediately said no with a stern face, and kept talking in a low voice, feeling like she was scolding me. Not sure if I'm asking too much or the LEGOs I bought today are too cheap treated like this，If it's because I'm asking too much, you can tell me that you don't need to give me a long face. Feeling discriminated against, is this how Lego stores treat customers?",Negative,"But the female clerk immediately said no with a stern face, and kept talking in a low voice, feeling like she was scolding me.","The customer complained about the staff because one of the employees refused their request for a Lego card, responded in a low voice, and appeared stern."
"Started getting into Lego since I visited Legoland Windsor last October.Wonderful shop with so much variety on offer (appealing to both kids and adults alike), and it didn't take me long at all to find two sets that caught my eye; Bird's Nest and Valentine Lovebirds (see photo).George served me at the counter today; very friendly and even convinced me to join the Lego VIP rewards club (free to join!)Sadly I don't live locally to Stratford, otherwise I would definitely come here again on a near-regular basis. Highly recommend to all fans of Lego and anyone seeking to fuel their creativity 🌈",Positive,George served me at the counter today; very friendly and even convinced me to join the Lego VIP rewards club.,The customer was very satisfied with the friendliness of the staff and the loveliness of the store. They highly recommend it.
A lovely store with friendly staff and lots of great model displays which helped with a couple of purchases. Their Lego brick wall ( a huge section that usually holds lots of bricks to purchase) was however not even half stocked which was disappointing. This was my first visit to a Lego store with the pick a brick wall being one of my primary reasons to do so. Seeing it so understocked simply means I won't need to visit any Lego store again as I'm better off getting specific bricks for my projects from other sources.,Negative,A lovely store with friendly staff and lots of great model displays which helped with a couple of purchases. ,"The customer found the staff helpful but was disappointed with the stock of the store, especially with the Lego wall."
"Attentive staff. We are handed alcohol gel at the entrance. Shown a 3D augmented reality model of Lego a TV screen which is super cool. Browsed the store without feeling the pressure to buy anything. We asked a question on if we were able to order a specific Lego piece that we are missing on a set we had bought, and were given a business card with who to contact. So nice, pleasant experience throughout. At the checkout we were asked to join their mail list, and we were given a keychain for joining!!!",Neutral,"So nice, pleasant experience throughout.",The customer had a great experience as they got free merchandise and the staff was friendly.
"Love the Lego store in Westfield Stratford, went there just yesterday, had so much fun and the staff there is amazing. There's one member of staff, I think her name is Rachel, that I hope gets paid well for the service she gives, she was such a lovely person and really gave my sisters a good experience going to the store. Oh and the builds you see in the cabinets there are incredibly creative and funny. Can't wait to go to this store again.",Positive,Had so much fun and the staff there is amazing.,"The customer found the store and the products very creative and also appreciated the staff, especially the help of Rachel."
"Being an adult Lego fan, I was disappointed with the store.Except for a few features such as the brick wall (which everyone who has ever visited the wall knows is disappointing due to the lack of variety) and the figure creation point (also disappointing for the same reasons as the wall), Hamleys had a greater stock of children's Lego. Disappointed that a main store such as this did not stock the more expensive models such as the Bugatti...",Negative,"Being an adult Lego fan, I was disappointed with the store.",The customer felt disappointed about the available stock of the store.
"Nice shopping for tots amazing , all kinds of toys available for kids use. Fresh toys, fresh sports , gaming as well. Toy's for high quality and advanced technology , mix toys for toddler's, babies and above age. Also parking available, staff is very helpful. During entry you use, shopping code, so you do need to swap your card. That is amazing piece of technology, if is easy to use and shop quickly.",Positive,"Nice shopping for tots amazing , all kinds of toys available for kids use.",The customer found the store great to visit with toddlers and found the staff helpfull.
"Official Lego store with lot of options to buy mega blocks. Even good for adults not only for kids. There are big blocks start at around €50-100, there are micro blocks also which kids can enjoy too.Good for learning and also makes kids thinking about the estate and building knowledge. How to join and build things is something kids may learn. It's decent and staff is good to show you the best options.",Neutral,It's decent and staff is good to show you the best options.,"The customer was satisfied with the store’s stock, noting that it offered all kinds of toys, and also highlighted that it’s great for children, as they can learn how to connect bricks."
Just a big thank you to the staff being kind enough to help me out! My son lost a specific piece and had been crying for it so the staff took one off the display toys and gave the piece saving us buying a whole new set. Really appreciated the kindness and empathy of the staff. Always great visiting and buying in this store. Lots of selection and always friendly staff willing to go the extra mile,Positive,Lots of selection and always friendly staff willing to go the extra mile.,"The customer found the staff of the store emphatic and friendly, as they helped them not to buy the whole set but only specific elements from the shopping windowa."
